Крок	x1	x2	Phi(X)
247	-1.425000	-1.400000	7.128906e-04
248	-1.425000	-1.400000	7.128906e-04
249	-1.425000	-1.400000	7.128906e-04
250	-1.425000	-1.400000	7.128906e-04
251	-1.425000	-1.400000	7.128906e-04
252	-1.425000	-1.400000	7.128906e-04
253	-1.425000	-1.400000	7.128906e-04
254	-1.425000	-1.400000	7.128906e-04
255	-1.425000	-1.400000	7.128906e-04
256	-1.425000	-1.400000	7.128906e-04
257	-1.425000	-1.400000	7.128906e-04
258	-1.425000	-1.400000	7.128906e-04
259	-1.425000	-1.400000	7.128906e-04
260	-1.425000	-1.400000	7.128906e-04
261	-1.425000	-1.400000	7.128906e-04
262	-1.425000	-1.400000	7.128906e-04
263	-1.425000	-1.400000	7.128906e-04
264	-1.425000	-1.400000	7.128906e-04
265	-1.425000	-1.400000	7.128906e-04
266	-1.425000	-1.400000	7.128906e-04
267	-1.425000	-1.400000	7.128906e-04
268	-1.425000	-1.400000	7.128906e-04
269	-1.425000	-1.400000	7.128906e-04
270	-1.425000	-1.400000	7.128906e-04
271	-1.425000	-1.400000	7.128906e-04
272	-1.425000	-1.400000	7.128906e-04
273	-1.425000	-1.400000	7.128906e-04
274	-1.425000	-1.400000	7.128906e-04
275	-1.425000	-1.400000	7.128906e-04
276	-1.425000	-1.400000	7.128906e-04
277	-1.425000	-1.400000	7.128906e-04
278	-1.425000	-1.400000	7.128906e-04
279	-1.425000	-1.400000	7.128906e-04
280	-1.425000	-1.400000	7.128906e-04
281	-1.425000	-1.400000	7.128906e-04
282	-1.425000	-1.400000	7.128906e-04
283	-1.425000	-1.400000	7.128906e-04
284	-1.425000	-1.400000	7.128906e-04
285	-1.425000	-1.400000	7.128906e-04
286	-1.425000	-1.400000	7.128906e-04
287	-1.425000	-1.400000	7.128906e-04
288	-1.425000	-1.400000	7.128906e-04
289	-1.425000	-1.400000	7.128906e-04
290	-1.425000	-1.400000	7.128906e-04
291	-1.425000	-1.400000	7.128906e-04
292	-1.425000	-1.400000	7.128906e-04
293	-1.425000	-1.400000	7.128906e-04
294	-1.425000	-1.400000	7.128906e-04
295	-1.425000	-1.400000	7.128906e-04
296	-1.425000	-1.400000	7.128906e-04
297	-1.425000	-1.400000	7.128906e-04
298	-1.425000	-1.400000	7.128906e-04
299	-1.425000	-1.400000	7.128906e-04
300	-1.425000	-1.400000	7.128906e-04
301	-1.425000	-1.400000	7.128906e-04
302	-1.425000	-1.400000	7.128906e-04
303	-1.425000	-1.400000	7.128906e-04
304	-1.425000	-1.400000	7.128906e-04
305	-1.425000	-1.400000	7.128906e-04
306	-1.425000	-1.400000	7.128906e-04
307	-1.425000	-1.400000	7.128906e-04
308	-1.425000	-1.400000	7.128906e-04
309	-1.425000	-1.400000	7.128906e-04
310	-1.425000	-1.400000	7.128906e-04
311	-1.425000	-1.400000	7.128906e-04
312	-1.425000	-1.400000	7.128906e-04
313	-1.425000	-1.400000	7.128906e-04
314	-1.425000	-1.400000	7.128906e-04
315	-1.425000	-1.400000	7.128906e-04
316	-1.425000	-1.400000	7.128906e-04
317	-1.425000	-1.400000	7.128906e-04
318	-1.425000	-1.400000	7.128906e-04
319	-1.425000	-1.400000	7.128906e-04
320	-1.425000	-1.400000	7.128906e-04
321	-1.425000	-1.400000	7.128906e-04
322	-1.425000	-1.400000	7.128906e-04
323	-1.425000	-1.400000	7.128906e-04
324	-1.425000	-1.400000	7.128906e-04
325	-1.425000	-1.400000	7.128906e-04
326	-1.425000	-1.400000	7.128906e-04
327	-1.425000	-1.400000	7.128906e-04
328	-1.425000	-1.400000	7.128906e-04
329	-1.425000	-1.400000	7.128906e-04
330	-1.425000	-1.400000	7.128906e-04
331	-1.425000	-1.400000	7.128906e-04
332	-1.425000	-1.400000	7.128906e-04
333	-1.425000	-1.400000	7.128906e-04
334	-1.425000	-1.400000	7.128906e-04
335	-1.425000	-1.400000	7.128906e-04
336	-1.425000	-1.400000	7.128906e-04
337	-1.425000	-1.400000	7.128906e-04
338	-1.425000	-1.400000	7.128906e-04
339	-1.425000	-1.400000	7.128906e-04
340	-1.425000	-1.400000	7.128906e-04
341	-1.425000	-1.400000	7.128906e-04
342	-1.425000	-1.400000	7.128906e-04
343	-1.425000	-1.400000	7.128906e-04
344	-1.425000	-1.400000	7.128906e-04
345	-1.425000	-1.400000	7.128906e-04
346	-1.425000	-1.400000	7.128906e-04
347	-1.425000	-1.400000	7.128906e-04
348	-1.425000	-1.400000	7.128906e-04
349	-1.425000	-1.400000	7.128906e-04
350	-1.425000	-1.400000	7.128906e-04
351	-1.425000	-1.400000	7.128906e-04
352	-1.425000	-1.400000	7.128906e-04
353	-1.425000	-1.400000	7.128906e-04
354	-1.425000	-1.400000	7.128906e-04
355	-1.425000	-1.400000	7.128906e-04
356	-1.425000	-1.400000	7.128906e-04
357	-1.425000	-1.400000	7.128906e-04
358	-1.425000	-1.400000	7.128906e-04
359	-1.425000	-1.400000	7.128906e-04
360	-1.425000	-1.400000	7.128906e-04
361	-1.425000	-1.400000	7.128906e-04
362	-1.425000	-1.400000	7.128906e-04
363	-1.425000	-1.400000	7.128906e-04
364	-1.425000	-1.400000	7.128906e-04
365	-1.425000	-1.400000	7.128906e-04
366	-1.425000	-1.400000	7.128906e-04
367	-1.425000	-1.400000	7.128906e-04
368	-1.425000	-1.400000	7.128906e-04
369	-1.425000	-1.400000	7.128906e-04
370	-1.425000	-1.400000	7.128906e-04
371	-1.425000	-1.400000	7.128906e-04
372	-1.425000	-1.400000	7.128906e-04
373	-1.425000	-1.400000	7.128906e-04
374	-1.425000	-1.400000	7.128906e-04
375	-1.425000	-1.400000	7.128906e-04
376	-1.425000	-1.400000	7.128906e-04
377	-1.425000	-1.400000	7.128906e-04
378	-1.425000	-1.400000	7.128906e-04
379	-1.425000	-1.400000	7.128906e-04
380	-1.425000	-1.400000	7.128906e-04
381	-1.425000	-1.400000	7.128906e-04
382	-1.425000	-1.400000	7.128906e-04
383	-1.425000	-1.400000	7.128906e-04
384	-1.425000	-1.400000	7.128906e-04
385	-1.425000	-1.400000	7.128906e-04
386	-1.425000	-1.400000	7.128906e-04
387	-1.425000	-1.400000	7.128906e-04
388	-1.425000	-1.400000	7.128906e-04
389	-1.425000	-1.400000	7.128906e-04
390	-1.425000	-1.400000	7.128906e-04
391	-1.425000	-1.400000	7.128906e-04
392	-1.425000	-1.400000	7.128906e-04
393	-1.425000	-1.400000	7.128906e-04
394	-1.425000	-1.400000	7.128906e-04
395	-1.425000	-1.400000	7.128906e-04
396	-1.425000	-1.400000	7.128906e-04
397	-1.425000	-1.400000	7.128906e-04
398	-1.425000	-1.400000	7.128906e-04
399	-1.425000	-1.400000	7.128906e-04
400	-1.425000	-1.400000	7.128906e-04
401	-1.425000	-1.400000	7.128906e-04
402	-1.425000	-1.400000	7.128906e-04
403	-1.425000	-1.400000	7.128906e-04
404	-1.425000	-1.400000	7.128906e-04
405	-1.425000	-1.400000	7.128906e-04
406	-1.425000	-1.400000	7.128906e-04
407	-1.425000	-1.400000	7.128906e-04
408	-1.425000	-1.400000	7.128906e-04
409	-1.425000	-1.400000	7.128906e-04
410	-1.425000	-1.400000	7.128906e-04
411	-1.425000	-1.400000	7.128906e-04
412	-1.425000	-1.400000	7.128906e-04
413	-1.425000	-1.400000	7.128906e-04
414	-1.425000	-1.400000	7.128906e-04
415	-1.425000	-1.400000	7.128906e-04
416	-1.425000	-1.400000	7.128906e-04
417	-1.425000	-1.400000	7.128906e-04
418	-1.425000	-1.400000	7.128906e-04
419	-1.425000	-1.400000	7.128906e-04
420	-1.425000	-1.400000	7.128906e-04
421	-1.425000	-1.400000	7.128906e-04
422	-1.425000	-1.400000	7.128906e-04
423	-1.425000	-1.400000	7.128906e-04
424	-1.425000	-1.400000	7.128906e-04
425	-1.425000	-1.400000	7.128906e-04
426	-1.425000	-1.400000	7.128906e-04
427	-1.425000	-1.400000	7.128906e-04
428	-1.425000	-1.400000	7.128906e-04
429	-1.425000	-1.400000	7.128906e-04
430	-1.425000	-1.400000	7.128906e-04
431	-1.425000	-1.400000	7.128906e-04
432	-1.425000	-1.400000	7.128906e-04
433	-1.425000	-1.400000	7.128906e-04
434	-1.425000	-1.400000	7.128906e-04
435	-1.425000	-1.400000	7.128906e-04
436	-1.425000	-1.400000	7.128906e-04
437	-1.425000	-1.400000	7.128906e-04
438	-1.425000	-1.400000	7.128906e-04
439	-1.425000	-1.400000	7.128906e-04
440	-1.425000	-1.400000	7.128906e-04
441	-1.425000	-1.400000	7.128906e-04
442	-1.425000	-1.400000	7.128906e-04
443	-1.425000	-1.400000	7.128906e-04
444	-1.425000	-1.400000	7.128906e-04
445	-1.425000	-1.400000	7.128906e-04
446	-1.425000	-1.400000	7.128906e-04
447	-1.425000	-1.400000	7.128906e-04
448	-1.425000	-1.400000	7.128906e-04
449	-1.425000	-1.400000	7.128906e-04
450	-1.425000	-1.400000	7.128906e-04
451	-1.425000	-1.400000	7.128906e-04
452	-1.425000	-1.400000	7.128906e-04
453	-1.425000	-1.400000	7.128906e-04
454	-1.425000	-1.400000	7.128906e-04
455	-1.425000	-1.400000	7.128906e-04
456	-1.425000	-1.400000	7.128906e-04
457	-1.425000	-1.400000	7.128906e-04
458	-1.425000	-1.400000	7.128906e-04
459	-1.425000	-1.400000	7.128906e-04
460	-1.425000	-1.400000	7.128906e-04
461	-1.425000	-1.400000	7.128906e-04
462	-1.425000	-1.400000	7.128906e-04
463	-1.425000	-1.400000	7.128906e-04
464	-1.425000	-1.400000	7.128906e-04
465	-1.425000	-1.400000	7.128906e-04
466	-1.425000	-1.400000	7.128906e-04
467	-1.425000	-1.400000	7.128906e-04
468	-1.425000	-1.400000	7.128906e-04
469	-1.425000	-1.400000	7.128906e-04
470	-1.425000	-1.400000	7.128906e-04
471	-1.425000	-1.400000	7.128906e-04
472	-1.425000	-1.400000	7.128906e-04
473	-1.425000	-1.400000	7.128906e-04
474	-1.425000	-1.400000	7.128906e-04
475	-1.425000	-1.400000	7.128906e-04
476	-1.425000	-1.400000	7.128906e-04
477	-1.425000	-1.400000	7.128906e-04
478	-1.425000	-1.400000	7.128906e-04
479	-1.425000	-1.400000	7.128906e-04
480	-1.425000	-1.400000	7.128906e-04
481	-1.425000	-1.400000	7.128906e-04
482	-1.425000	-1.400000	7.128906e-04
483	-1.425000	-1.400000	7.128906e-04
484	-1.425000	-1.400000	7.128906e-04
485	-1.425000	-1.400000	7.128906e-04
486	-1.425000	-1.400000	7.128906e-04
487	-1.425000	-1.400000	7.128906e-04
488	-1.425000	-1.400000	7.128906e-04
489	-1.425000	-1.400000	7.128906e-04
490	-1.425000	-1.400000	7.128906e-04
491	-1.425000	-1.400000	7.128906e-04
492	-1.425000	-1.400000	7.128906e-04
493	-1.425000	-1.400000	7.128906e-04
494	-1.425000	-1.400000	7.128906e-04
495	-1.425000	-1.400000	7.128906e-04
496	-1.425000	-1.400000	7.128906e-04
497	-1.425000	-1.400000	7.128906e-04
498	-1.425000	-1.400000	7.128906e-04
499	-1.425000	-1.400000	7.128906e-04
500	-1.425000	-1.400000	7.128906e-04
501	-1.425000	-1.400000	7.128906e-04
502	-1.425000	-1.400000	7.128906e-04
503	-1.425000	-1.400000	7.128906e-04
504	-1.425000	-1.400000	7.128906e-04
505	-1.425000	-1.400000	7.128906e-04
506	-1.425000	-1.400000	7.128906e-04
507	-1.425000	-1.400000	7.128906e-04
508	-1.425000	-1.400000	7.128906e-04
509	-1.425000	-1.400000	7.128906e-04
510	-1.425000	-1.400000	7.128906e-04
511	-1.425000	-1.400000	7.128906e-04
512	-1.425000	-1.400000	7.128906e-04
513	-1.425000	-1.400000	7.128906e-04
514	-1.425000	-1.400000	7.128906e-04
515	-1.425000	-1.400000	7.128906e-04
516	-1.425000	-1.400000	7.128906e-04
517	-1.425000	-1.400000	7.128906e-04
518	-1.425000	-1.400000	7.128906e-04
519	-1.425000	-1.400000	7.128906e-04
520	-1.425000	-1.400000	7.128906e-04
